medcodeid	Term	delivery
1938621000006113	Home delivery of urinary catheters arranged	NA
19421000006119	Other pre-exist hypertension in preg/childb/puerp-not deliv	NA
19431000006116	Other pre-existing hypertension in preg/childb/puerp - deliv	NA
1944331000006112	Congenital hypothyroidism screening, too premature for testing	NA
19491000006117	Other pregnancy complication - delivered with postnatal comp	NA
1954971000006114	Gynaecology - early pregnancy (secondary group)	NA
1955921000006112	Traumatic injury to abdomen during pregnancy	NA
197232014	Placenta praevia	NA
1980751000006118	Parenting intervention delivered by healthcare support worker	NA
1984271000006112	Manchester triage - Pregnancy	NA
19871000006116	Other phlebitis/thrombosis in pregnancy/puerperium - deliv	NA
1988741000006117	Pregnancy and non-insulin-dependent diabetes mellitus	NA
1988841000006112	Intraventricular (nontraumatic) haemorrhage, grade 4, of fetus and newborn	NA
1994691000006111	Antenatal examination - 1st contact with healthcare professional	NA
2001881000006116	Health visitor antenatal visit: 32-34 weeks	NA
200391000006111	Pubiotomy to facilitate delivery	NA
200591000006119	Puerperal cerebrovascular disorder - delivered with postnatal complication	NA
20065015	Chorioamnionitis	NA
20066019	Membranitis	NA
200661000006111	Puerperal endometritis - delivered with postnatal complication	NA
200721000006113	Puerperal peritonitis - delivered with postnatal complication	NA
200814016	Vasa praevia	NA
200831000006115	Puerperal pyrexia of unknown origin - delivered with postnatal complication	NA
200871000006117	Puerperal salpingitis - delivered with postnatal complication	NA
200921000006110	Puerperal septicaemia - delivered with postnatal complication	NA
20191016	Gestational diabetes mellitus	NA
202661000006110	Prolonged pregnancy	NA
202741000006117	Prolonged spont/unspec rupture of membranes - delivered	NA
208371000006112	Preterm delivery-associated jaundice	NA
211691000006114	Postnatal deep vein thrombosis - delivered with postnatal complication	NA
211811000006115	Postnatal visits	NA
212211000006112	Postpartum coagulation defects - delivered with postnatal problem	NA
2125971000000115	Nuchal translucency multiple of median	NA
2128081000000111	Gestational diabetes mellitus annual review	NA
212961000006118	Pre-eclampsia or eclampsia + pre-existing hypertension NOS	NA
212981000006111	Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication	NA
212991000006114	Pre-eclampsia or eclampsia with pre-existing hypertension - delivered	NA
213001000006110	Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered	NA
213011000006113	Pre-eclampsia or eclampsia with hypertension unspecified	NA
2133401000000118	Unborn child subject to child protection plan	NA
213701000006113	Pregnancy prescription exemption advice	NA
213711000006111	Preg. termination counselling	NA
213861000006116	Pregnancy induced oedema+proteinuria without hypertension	NA
213941000006113	Pregnancy vitamin/iron prophylaxis	NA
2141521000000111	Education about listeria precautions during pregnancy	NA
214711000006114	Polyhydramnios and hydramnios	NA
214721000006118	Polyhydramnios NOS	NA
215131000006117	Polyp of cervix - baby delivered with postpartum complication	NA
215141000006110	Polyp of cervix complicating antenatal care - baby not yet delivered	NA
215151000006112	Polyp of cervix complicating postnatal care - baby delivered during previous episode of care	NA
215381000000114	Shirodkar's cervical cerclage	NA
2153870017	Emergency caesarean section	NA
2154174017	Born by emergency caesarean section	NA
2154381019	Elective caesarean delivery	NA
2159214016	Born by breech delivery	NA
2159215015	Born by ventouse delivery	NA
2159809011	Fetal cell test	NA
216241019	Routine antenatal care	NA
216650011	Pregnancy review	NA
216651010	Review of pregnancy	NA
216662010	Antenatal education	NA
216871000006118	Post-coital IUCD failure	NA
216891000006117	Post-coital OCP failure	NA
216921000006111	Post-delivery acute renal failure - delivered with p/n prob	NA
217311000006117	Post-term pregnancy	NA
2173421000000112	Provision of information about antenatal screening	NA
218701000000110	Fetal US scan	NA
218711000000112	Ultra-sound scan - obstetric	NA
218741000000113	Pregnant	NA
218761000000114	Maternal postnatal 6 week examination	NA
218771000000119	Postnatal maternal examination	NA
220801000000113	Antepartum bleeding	NA
220811000000110	Maternal obesity syndrome	NA
220861000000112	Vascular lesion of cord	NA
220881000000115	Deliveries by vacuum extractor	NA
220891000000118	Ventouse delivery	NA
2227331000000112	Antenatal 22 week examination	NA
2227371000000114	Antenatal 25 week examination	NA
2227411000000113	Antenatal 31 week examination	NA
2238101000000116	Pertussis vaccination in pregnancy invitation	NA
2238581000000118	Pertussis vaccination in pregnancy invitation first letter	NA
2238711000000118	Pertussis vaccination in pregnancy invitation second letter	NA
2238841000000112	Pertussis vaccination in pregnancy invitation third letter	NA
2239111000000111	Did not attend pertussis vaccination in pregnancy	NA
2240061000000116	Pertussis vaccination in pregnancy declined	NA
224141000000113	Pregnancy operations	NA
2253531000000114	Cardiotocography	NA
2266061000000110	Unborn child is cause for safeguarding concern	NA
2279571000000112	Health visitor antenatal visit	NA
228311000006114	Placenta Praevia - major (across internal os)	NA
228321000006118	Placenta Praevia - minor (not across os)	NA
228431000006110	Placenta U-S scan	NA
228551000006119	Placental infarct	NA
228591000006113	Placental lactogen	NA
228601000006117	HPL (human placental lactogen) level	NA
228711000006110	Placentogr.-X-ray,plain	NA
229501000006111	Persistent hymen - baby delivered with postpartum complication	NA
229521000006118	Persistent hymen complicating antenatal care - baby not yet delivered	NA
229531000006115	Persistent hymen complicating postpartum care - baby delivered during previous episode of care	NA
229681000006115	Persistent occipitoposterior or occipitoanterior position with antenatal problem	NA
229691000006117	Persistent occipitoposterior or occipitoanterior position - delivered	NA
229701000006117	Persistent occipitopost/occipitoant position, unspecified	NA
229721000006110	Persistent occipitoposterior/occipitoanterior position NOS	NA
2300631000000118	Deinfibulation of vulva to facilitate delivery	NA
2335841000000112	Pertussis vaccination given by other healthcare provider	NA
235741000006115	Peripheral neuritis in pregnancy - delivered with p/n comp	NA
2359181000000113	Did not attend antenatal appointment	NA
2373411000000113	Gestation less than 28 weeks	NA
2374271000000119	Centile age adjustment for gestational age	NA
237521000006114	Pelvic soft tissue abnormality in pregnancy, childbirth and the puerperium - delivered with postnatal complication	NA
237551000006117	Pelvic soft tissue abnormality in pregnancy, childbirth and the puerperium - delivered	NA
2380601000000111	Antenatal risk assessment	NA
238901000006112	Percutaneous blood transfusion of fetus	NA
239141000006116	Percutaneous insertion of fetal pleuroamniotic shunt	NA
239151000006119	Percutaneous insertion of fetal vesicoamniotic shunt	NA
239371000006114	Percutaneous sampling of fetal blood	NA
239381000006112	Percutaneous sampling of foetal blood	NA
23994012	Hyperemesis gravidarum	NA
2409161000000119	H/O: defibulation of vulva to facilitate delivery	NA
2422651000000111	Sickle cell screening related finding	NA
2422691000000115	Sickle cell screening declined, no history of being screened	NA
2423411000000115	Sickle cell screening, too young for reliable screening	NA
2423491000000112	Sickle cell screening, insufficient sample	NA
2432531000000119	Sickle cell screening, unsuitable sample: expired card used	NA
2432611000000114	Sickle cell screening, unsuitable sample: damaged in transit	NA
2432811000000113	Sickle cell screening, too premature for testing	NA
2440671000000116	Pertussis vaccination in pregnancy contraindicated	NA
2443421000000112	Serum pregnancy associated plasma protein A concentration	NA
2461871000000118	Health visitor antenatal visit declined	NA
2475004013	Infection of caesarean section AND/OR perineal wound	NA
2478460012	Fluid sample lactate level	NA
2478758011	Fetal gestational age	NA
24851000006118	Obstetric operation	NA
24951000006110	Other obstetric pulmonary embolism - delivered + p/n comp	NA
24981000006119	Other obstetric pulmonary embolism with antenatal comp	NA
2501000000110	Complete maternity services claimed	NA
250151000006110	Papyraceous fetus	NA
251068010	Pregnancy benefit NOS	NA
2511000000112	Maternity booking before 16th week	NA
251998017	Estimated date of delivery	NA
252061018	H/O: premature delivery	NA
2521000000118	Maternity booking 17-30 weeks	NA
252139014	H/O: caesarean section	NA
252151000006111	Other uterine/pelvic floor abn - baby delivered previously	NA
252156018	H/O: previous forceps delivery	NA
252161000006113	Other uterine/pelvic floor abn - delivered+postpartum compl	NA
252181000006115	Other uterine/pelvic floor abnormal - baby not yet delivered	NA
252371000006116	Other venous comp of pregnancy/puerperium + a/n comp	NA
252391000006115	Other venous comp of pregnancy/puerperium - deliv + p/n comp	NA
252421000006111	Other venous complication of pregnancy/puerperium -delivered	NA
252691000006111	Other vulval/perineal trauma during delivery + p/n problem	NA
252711000006114	Other vulval/perineal trauma during delivery, unspecified	NA
2527321000006111	Forceps delivery failed	NA
2527331000006114	Failed forceps delivery	NA
2531018	Generally contracted pelvis	NA
2532961010	Foetal chromosomal abnormality screening	NA
2533807017	Placental abruption	NA
2534097016	Referral for termination of pregnancy	NA
253491000006118	Outlet pelvic contraction	NA
2536060011	Fetal malnutrition	NA
2537192015	Ablatio placentae	NA
254316012	O/E - striae gravidarum	NA
254576019	O/E - VE - gravid uterus	NA
254691014	O/E - uterus size - obstetric	NA
254692019	O/E - fundus size - obstetric	NA
254694018	O/E - fundus 12-16 week size	NA
254695017	O/E - fundus 16-20 week size	NA
254696016	O/E - fundus 20-24 week size	NA
254697013	O/E - fundus 24-28 week size	NA
254700012	O/E - fundus 28-32 week size	NA
254701011	O/E - fundus 32-34 week size	NA
254702016	O/E - fundus 34-36 week size	NA
254703014	O/E - fundus 36-38 week size	NA
254704015	O/E -fundus 38 weeks-term size	NA
254705019	O/E - fundus = term size	NA
254706018	O/E - fundal size = dates	NA
254707010	O/E - gravid uterus size NOS	NA
254712011	O/E - vertex presentation	NA
