prodcodeid	productname	priority_2	priority_1
8622841000033110	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
10260741000033112	GlucoRx FinePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
13027441000033116	GlucoRx Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge	1	NA
13027541000033116	GlucoRx Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge	1	NA
14115141000033116	GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
14115241000033112	GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
14115341000033118	GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
14115441000033112	GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
10983441000033112	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge	1	NA
10982741000033112	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
10982841000033118	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
10982941000033114	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge	1	NA
10983041000033116	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
10983241000033112	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
727641000033113	Humaject (Humulin I)  Preloaded pen  100 units/ml	1	NA
727141000033115	Humaject (Humulin M1)  Preloaded pen	1	NA
727241000033110	Humaject (Humulin M2)  Preloaded pen	1	NA
727441000033111	Humaject (Humulin M4)  Preloaded pen	1	NA
727541000033112	Humaject (Humulin M5)  Preloaded pen	1	NA
727341000033117	HumaJect M3 Pen 100units/ml suspension for injection	1	NA
727041000033119	HumaJect S Pen 100units/ml solution for injection	1	NA
720541000033111	Humalog 100units/ml solution for injection 1.5ml cartridges	1	NA
723241000033118	Humalog 100units/ml solution for injection 10ml vials	1	NA
1736841000033114	Humalog 100units/ml solution for injection 3ml cartridges	1	NA
12486241000033112	Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens	1	NA
4608541000033115	Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens	1	NA
10252741000033120	Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens	1	NA
5403541000033118	Humalog Mix25 100units/ml suspension for injection 10ml vials	1	NA
1736941000033118	Humalog Mix25 100units/ml suspension for injection 3ml cartridges	1	NA
4608641000033119	Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens	1	NA
1737041000033117	Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens	1	NA
3922641000033111	Humalog Mix50 100units/ml suspension for injection 3ml cartridges	1	NA
4608741000033111	Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens	1	NA
2182141000033117	Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens	1	NA
2182341000033119	Humalog Pen 100units/ml solution for injection 3ml pre-filled pens	1	NA
14004241000033116	Humalog Tempo Pen 100units/ml solution for injection 3ml pre-filled pens	1	NA
725041000033113	Human Actraphane(Nova)  Injection	1	NA
725941000033114	Human Actrapid  Injection  100 units/ml	1	NA
4270841000033113	Human Actrapid  Injection  500 units/ml, 10 ml vial	1	NA
9641000033112	Human Actrapid  Preloaded pen  100 units/ml	1	NA
720941000033117	Human Actrapid Penfill  Cartridges (3 Ml)  100 units/ml	1	NA
721041000033110	Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges	1	NA
725141000033112	Human Initard 50/50 Insulin  Injection  100 units/ml	1	NA
1714041000033116	Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges	1	NA
1818141000033110	Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges	1	NA
1818241000033115	Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges	1	NA
1818341000033113	Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges	1	NA
1818441000033119	Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges	1	NA
1818541000033118	Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges	1	NA
2874541000033119	HumaPen Ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
2874641000033118	HumaPen Ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
4405741000033115	HumaPen Luxura HD hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units	1	NA
5440141000033112	HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
